drug_name,drugbank_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
,DB00699,Dementia,C0497327,NCT02374567,Terminated,Phase 3,
cinacalcet,DB01012,"Hyperparathyroidism, Secondary",C0020503,NCT01277510,Terminated,Phase 3,Study was put on clinical hold on 30 Jan 2013 following a subject fatality. Study was never restarted and was closed.
fenofibrate,DB01039,Multiple Myeloma,C0026764,NCT01965834,Terminated,Phase 2,Lack of adequate accrual.
fentanyl,DB00813,Chronic pain,C0150055,NCT00387010,Terminated,Phase 3,The sponsor felt enough information was available for the exploratory assessment of the effect of treatment with FBT on pain anxiety
clopidogrel,DB00758,Atherosclerosis,C0004153,NCT00385138,Terminated,Phase 3,Insufficient evidence of the clinical effectiveness of cangrelor
,DB01234,Amyloidosis,C0002726,NCT03130348,Withdrawn,Phase 2,Study was dropped at site before participation
azacitidine,DB00928,Non-Small Cell Lung Carcinoma,C0007131,NCT00901537,Terminated,Phase 1,Sponsor terminated due to no enrollments within last 4 months.
celecoxib,DB00482,Degenerative polyarthritis,C0029408,NCT00163241,Terminated,Phase 3,Please see detailed description for termination reason.
vinorelbine,DB00361,Malignant neoplasm of breast,C0006142,NCT01185509,Terminated,Phase 2,Not enough confirmed responses to continue treatment.
,DB00362,Candidemia,C0877445,NCT01176058,Terminated,Phase 3,See termination reason in detailed description.
,DB01184,Gastroesophageal reflux disease,C0017168,NCT01710462,Withdrawn,Phase 3,Change of company's strategy
,DB01234,Acute otitis externa,C0149948,NCT00945802,Terminated,Phase 3,
,DB01156,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,
carboplatin,DB00958,Non-Small Cell Lung Carcinoma,C0007131,NCT02409355,Terminated,Phase 3,"The study was closed due to low patient enrollment and the Sponsor's decision to include patients with squamous NSCLC into the GO29431 study, NCT02409342."
naltrexone,DB00704,"Dermatitis, Atopic",C0011615,NCT04154033,Withdrawn,Phase 2,Funding
,DB13860,Chronic small plaque psoriasis,C0406317,NCT01228656,Suspended,Phase 2,
,DB00841,Congestive heart failure,C0018802,NCT00338455,Terminated,Phase 2,"DSMC acknowledged no safety concerns with the trial, recommending that the trial be terminated due to slow enrollment"
etoposide,DB00773,Multiple Myeloma,C0026764,NCT01055301,Withdrawn,Phase 2,lack of accrual
toremifene,DB00539,Malignant neoplasm of breast,C0006142,NCT00010322,Terminated,Phase 3,Withdrawn due to change in standard of care - new protocol required
,DB00641,Dyslipidemias,C0242339,NCT01294683,Terminated,Phase 3,
cyclophosphamide,DB00531,Renal Cell Carcinoma,C0007134,NCT04596033,Terminated,Phase 1,Business reasons
,DB00531,Acute lymphoblastic leukemia - category,C1531702,NCT01532635,Terminated,Phase 2,Slow accrual
,DB13841,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,
,DB00169,Osteoporosis,C0029456,NCT01552122,Withdrawn,Phase 3,
denosumab,DB06643,Osteoporosis,C0029456,NCT03457818,Terminated,Phase 2,Due to enrollment difficulties compounded by the COVID pandemic.
pentostatin,DB00552,Hodgkin Disease,C0019829,NCT00698685,Terminated,Phase 2,Pentostatin/alemtuzumab regimen had greater risk of graft failure.
,DB06288,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,
bevacizumab,DB00112,Glioblastoma Multiforme,C1621958,NCT01933815,Suspended,Phase 1/Phase 2,Business reasons
oseltamivir,DB00198,Influenza,C0021400,NCT01053663,Terminated,Phase 1,The study was terminated prematurely after three influenza seasons.
carboplatin,DB00958,Malignant neoplasm of breast,C0006142,NCT02978716,Terminated,Phase 2,Primary Analysis and survival follow up completed per protocol. Not stopped due to safety concerns
dexamethasone phosphate,DB01234,Multiple Myeloma,C0026764,NCT02402725,Withdrawn,Phase 2,poor accrual
,DB13144,Refractory acute myeloid leukemia,C4528668,NCT04196010,Terminated,Phase 1,Terminated due to unfavorable risk-benefit ratio of investigational regimen.
,DB00479,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
,DB00563,"Lupus Erythematosus, Systemic",C0024141,NCT00230035,Withdrawn,Phase 2,Recommended by DSMB due to lack of accrual
trastuzumab,DB00072,Malignant neoplasm of breast,C0006142,NCT00427427,Terminated,Phase 2,lack of accrual
letrozole,DB01006,leiomyosarcoma,C0023269,NCT00414076,Terminated,Phase 2,Low accrual
,DB13144,Neuroblastoma,C0027819,NCT00003926,Terminated,Phase 1,Withdrawn due to slow accrual
,DB01217,Malignant neoplasm of breast,C0006142,NCT00738777,Suspended,Phase 2,in preparation for an amendment
bendamustine,DB06769,Diffuse large B-cell lymphoma refractory,C0855112,NCT02594163,Terminated,Phase 2,Sponsor decision based on portfolio prioritization
sunitinib,DB01268,Renal Cell Carcinoma,C0007134,NCT00330564,Terminated,Phase 2,Slow accrual.
,DB00531,Multiple Myeloma,C0026764,NCT02128230,Terminated,Phase 2,Low enrollment and Futility as determined by Amgen's Carfilzomib NASCR program.
glibenclamide,DB01016,Diabetes Mellitus,C0011849,NCT00521820,Terminated,Phase 3,Higher incidence of hospitalization for congestive heart failure in pioglitazone-treated subjects compared to glyburide treated subjects.
isotretinoin,DB00982,Neuroblastoma,C0027819,NCT04909515,Withdrawn,Phase 2,Study terminated due to business priorities
perindopril,DB00790,Obesity,C0028754,NCT02777489,Terminated,Phase 2,Unproven hypothesis
decitabine,DB01262,Refractory acute myeloid leukemia,C4528668,NCT03041688,Suspended,Phase 1,Other - Pending amendment
baclofen,DB00181,Nicotine Dependence,C0028043,NCT01228994,Terminated,Phase 2,The study was terminated because of difficulties recruiting subjects.
latanoprost,DB00654,Ocular Hypertension,C0028840,NCT00855517,Withdrawn,Phase 2,Sponsor's decision
doxorubicin,DB00997,Rhabdomyosarcoma,C0035412,NCT02557854,Withdrawn,Phase 1,Lack of enrollment
everolimus,DB01590,Renal Cell Carcinoma,C0007134,NCT01677390,Terminated,Phase 1,
tamoxifen,DB00675,Malignant neoplasm of breast,C0006142,NCT00096369,Terminated,Phase 2,accrual goal not met
dexamethasone phosphate,DB00531,Multiple Myeloma,C0026764,NCT03440411,Terminated,Phase 3,Low enrollment
aripiprazole,DB01238,Schizophrenia,C0036341,NCT00288353,Terminated,Phase 3,unable to secure additional funding
,DB00493,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
,DB01268,Malignant neoplasm of breast,C0006142,NCT00616122,Terminated,Phase 1/Phase 2,Risk to benefit ratio not acceptable
,DB01104,Major Depressive Disorder,C1269683,NCT01703039,Terminated,Phase 2,"PI departure, slow recruitment"
,DB01042,Primary Myelofibrosis,C0001815,NCT02528877,Withdrawn,Phase 1,The study design was revised so a new protocol will be opened.
niclosamide,DB06803,Ulcerative Colitis,C0009324,NCT03521232,Terminated,Phase 1/Phase 2,Covid-19
,DB00958,Malignant neoplasm of breast,C0006142,NCT00006123,Withdrawn,Phase 1/Phase 2,Never started
Vitamin E,DB00163,Ulcerative Colitis,C0009324,NCT00152841,Terminated,Phase 2,Lack of patients
,DB01234,Acute lymphoblastic leukemia - category,C1531702,NCT02535806,Terminated,Phase 2,Funding source discontinued
,DB00072,Malignant neoplasm of breast,C0006142,NCT02213744,Terminated,Phase 2/Phase 3,Felt not to show benefit over control per DMC and confirmed via futility analysis
mycophenolate mofetil,DB01024,"Leukemia, Myelomonocytic, Chronic",C0023480,NCT03128034,Suspended,Phase 1/Phase 2,Administrative - FDA Comments
brimonidine,DB00484,Meibomian gland dysfunction,C1275684,NCT02975557,Terminated,Phase 1/Phase 2,Slow accrual of subjects. May take longer than expected to complete the trial.
donepezil,DB00843,Dementia,C0497327,NCT00874939,Terminated,Phase 1,
lenalidomide,DB00480,Multiple Myeloma,C0026764,NCT01881789,Terminated,Phase 1/Phase 2,A program evaluation identified that the safety profile and pharmacokinetic (PK) characteristics of the formulation used in all oprozomib studies required further optimization and thus enrollment in OPZ003 was halted during dose-escalation.
,DB06218,Status Epilepticus,C0038220,NCT02726867,Withdrawn,Phase 3,No participants enrolled
,DB14644,Multiple Sclerosis,C0026769,NCT00418145,Terminated,Phase 3,low enrollment - data was not analyzed for this study
,DB00864,Epidermolysis Bullosa,C0014527,NCT00881556,Terminated,Early Phase 1,
letrozole,DB01006,Malignant neoplasm of breast,C0006142,NCT02619669,Withdrawn,Phase 1,"The study was withdrawn, because no participants were enrolled in two years."
phosphorylcholine,DB00122,Hypertriglyceridemia,C0020557,NCT00901823,Withdrawn,Phase 1,Did not support the planned development of DCCR in the new indication
mycophenolate mofetil,DB01024,Atherosclerosis,C0004153,NCT00311311,Terminated,Phase 3,See termination reason in detailed description.
ritonavir,DB00503,Pulmonary arterial hypertension,C2973725,NCT01251848,Withdrawn,Phase 1,
,DB01229,Malignant neoplasm of breast,C0006142,NCT03058939,Withdrawn,Phase 2,Study never activated to enrollment.
doxorubicin,DB00997,Malignant neoplasm of breast,C0006142,NCT02833766,Terminated,Phase 2,the trial was prematurely terminated as per SAKK board decision from 14th of November 2020. The trial is to be terminated after primary endpoint is reached.
docetaxel,DB01248,Non-Small Cell Lung Carcinoma,C0007131,NCT00738387,Terminated,Phase 3,
arsenic trioxide,DB01169,Malignant neoplasm of breast,C0006142,NCT00075413,Withdrawn,Phase 2,Unable to identify qualified subjects willing to participate in this study
,DB01331,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
meglumine antimonate,DB13732,"Leishmaniasis, Cutaneous",C0023283,NCT00317629,Terminated,Phase 3,An interim analysis showed that nitric oxide patches are not enough effective
epirubicin,DB00445,Malignant neoplasm of breast,C0006142,NCT02067416,Withdrawn,Phase 2,Funding agent withdrew funding
,DB04572,Acute lymphoblastic leukemia - category,C1531702,NCT00961142,Terminated,Phase 2,slow recruitment
,DB00779,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
paclitaxel,DB01229,Malignant neoplasm of breast,C0006142,NCT02053597,Withdrawn,Phase 2,due to evolving scientific knowledge in the field that would make the questions being addressed in the trial less relevant
,DB01006,Malignant neoplasm of breast,C0006142,NCT01013506,Withdrawn,Phase 2,Study was abandoned before opening to accrual. Replaced by another study.
,DB01229,Malignant neoplasm of breast,C0006142,NCT00356681,Terminated,Phase 2,Sponsor decision to close study
panobinostat,DB06603,Multiple Myeloma,C0026764,NCT00445068,Terminated,Phase 2,
isotretinoin,DB00982,Neuroblastoma,C0027819,NCT01048086,Withdrawn,Phase 2,No patients were enrolled because the company that pledged the drug does not yet have it available.
,DB05351,"Diabetes Mellitus, Insulin-Dependent",C0011854,NCT00837759,Terminated,Phase 2,Changes to study personnel.
docetaxel,DB01248,liposarcoma,C0023827,NCT04906876,Withdrawn,Phase 2,IND withdrawn
melphalan,DB01042,Acute lymphoblastic leukemia - category,C1531702,NCT04282174,Withdrawn,Phase 2,Study was split into two new studies before the first participant was enrolled.
dexamethasone phosphate,DB01234,Multiple Myeloma,C0026764,NCT04895410,Terminated,Phase 1,Strategic considerations
naloxone,DB01183,Constipation,C0009806,NCT01014559,Terminated,Phase 3,Lack of recruitment
vincristine,DB00541,Ewings sarcoma,C0553580,NCT00038142,Terminated,Phase 2,Low Accrual
docetaxel,DB01248,Squamous non-small cell lung cancer,C4509816,NCT01911325,Terminated,Phase 1,Review of safety and preliminary efficacy data showed marginal anti-tumor activity.
,DB00188,Acute lymphoblastic leukemia - category,C1531702,NCT02518750,Terminated,Phase 2,Due to slow accrual
adalimumab,DB00051,Hidradenitis Suppurativa,C0162836,NCT04988308,Terminated,Phase 2,Study has been prematurely terminated as the Interim Analysis 1 efficacy results met the prespecified futility criteria related to the primary endpoint.
trastuzumab,DB00072,Malignant neoplasm of breast,C0006142,NCT01363986,Terminated,Phase 2,Study was prematurely terminated due to difficulties experienced in recruiting patients in a reasonable timeframe.
panobinostat,DB06603,Malignant neoplasm of breast,C0006142,NCT00567879,Terminated,Phase 1/Phase 2,The study was terminated early due to insufficient evidence of clinical benefit.
galantamine,DB00674,Post-Traumatic Stress Disorder,C0038436,NCT01416948,Terminated,Phase 2,"The funding agency, DoD, determined that the study could not meet its enrollment numbers by the end of the grant."
,DB00642,Non-Small Cell Lung Carcinoma,C0007131,NCT04430933,Withdrawn,Phase 1/Phase 2,"Upon reviewing current available combo studies, the sponsor decided to prioritize different combo study."
varenicline,DB01273,Nicotine Dependence,C0028043,NCT03069768,Withdrawn,Phase 1,Unable to obtain varenicline to provide to participants
,DB00126,COVID19 (disease),C5203670,NCT04354428,Terminated,Phase 2/Phase 3,Low number of events contributing to primary outcome
tacrolimus,DB00864,Lupus Nephritis,C0024143,NCT01288664,Withdrawn,Phase 3,sponsor withdraw from this study
,DB01050,Hemoglobin SS disease with crisis,C0238425,NCT01932554,Withdrawn,Phase 2,Insufficient recruitment
latanoprost,DB00654,Ocular Hypertension,C0028840,NCT00143429,Withdrawn,Phase 2,
finasteride,DB01216,Prostatic Hypertrophy,C1739363,NCT00564460,Withdrawn,Phase 3,Change of practice pattern. Green light laser
,DB00193,Opioid withdrawal,C0029104,NCT03678792,Withdrawn,Phase 3,Infeasible to conduct at this time.
lovastatin,DB00227,Malignant neoplasm of breast,C0006142,NCT00902668,Terminated,Phase 2,Slow accrual
melphalan,DB01042,Malignant neoplasm of breast,C0006142,NCT00523809,Terminated,Phase 2,Slow accrual.
pioglitazone,DB01132,"Hepatitis C, Chronic",C0524910,NCT00927290,Terminated,Phase 3,Suspension of use of medicine containing Pioglitazone by French regulatory agency
,DB00642,Non-Small Cell Lung Carcinoma,C0007131,NCT03138889,Terminated,Phase 1/Phase 2,Sponsor decision
,DB00764,Asthma,C0004096,NCT04206761,Withdrawn,Phase 3,issues related to Covid-19 restrictions/shutdowns
ranibizumab,DB01270,Glaucoma,C0017601,NCT00727038,Withdrawn,Phase 1/Phase 2,Company withdrew funding/sponsorship
,DB00295,Pain,C0030193,NCT01522534,Terminated,Phase 3,not enough inclusions
mycophenolate mofetil,DB01024,Lupus Nephritis,C0024143,NCT00626197,Terminated,Phase 3,Study was terminated due to an imbalance of serious and opportunistic infections in the ocrelizumab treated patients versus the placebo arm.
,DB14482,Glioblastoma Multiforme,C1621958,NCT04900792,Suspended,Phase 1,Toxicity assessment per protocol
budesonide,DB01222,Eosinophilic esophagitis,C0341106,NCT01821898,Terminated,Phase 2,Recruitment was below expectation
,DB00997,Malignant neoplasm of breast,C0006142,NCT03285607,Withdrawn,Phase 1,Drug provider decided not to move forward with the study.
,DB00531,"Myeloid Leukemia, Chronic",C0023473,NCT04151706,Suspended,Phase 2,Interim analysis
fentanyl,DB00813,Acute onset pain,C0184567,NCT02137525,Withdrawn,Phase 2,Study was never initiated
fentanyl,DB00813,Pain,C0030193,NCT00278824,Terminated,Phase 2,Difficulty identifying and enrolling eligible patients
azithromycin,DB00207,Tonsillitis,C0040425,NCT01919996,Terminated,Phase 2,See Termination Statement in the Detailed Description below
,DB13144,Multiple Myeloma,C0026764,NCT01537861,Terminated,Early Phase 1,Unexpected toxicity (2 early deaths)
ketamine,DB01221,Bipolar Disorder,C0005586,NCT01504659,Terminated,Phase 2/Phase 3,Administrative issues
,DB08865,Malignant neoplasm of breast,C0006142,NCT02074878,Terminated,Phase 1,"Poor accrual so the study was halted on May 16, 2017."
,DB00608,"Lupus Erythematosus, Systemic",C0024141,NCT01946880,Terminated,Phase 2,Slow enrollment.
zoledronic acid,DB00399,Multiple Sclerosis,C0026769,NCT01166178,Terminated,Phase 3,
colecalciferol,DB00169,Vitamin D Deficiency,C0042870,NCT01170507,Withdrawn,Phase 1/Phase 2,No funding
rifaximin,DB01220,Crohn Disease,C0010346,NCT02240121,Terminated,Phase 3,The study was terminated early due to difficulty in enrollment and lack of clinical study drug access.
mycophenolate mofetil,DB01024,Rheumatoid Arthritis,C0003873,NCT00282412,Terminated,Phase 1,No participant enrolled for three years. No plan to continue study.
cyclophosphamide,DB00531,Metastatic urothelial carcinoma,C4288754,NCT04639245,Terminated,Phase 1/Phase 2,Terminated due to slow accrual.
colecalciferol,DB00169,Asthma,C0004096,NCT02687815,Terminated,Phase 2,Futility of vitamin D supplementation based on protocol threshold: <30% conditional power to detect pre-specified effect- 16% reduction in severe exacerbations.
paclitaxel,DB01229,Malignant neoplasm of breast,C0006142,NCT02685306,Withdrawn,Phase 2,
abatacept,DB01281,Rheumatoid Arthritis,C0003873,NCT02027298,Withdrawn,Phase 2,No Enrollment
sorafenib,DB00398,"Leukemia, Myelomonocytic, Chronic",C0023480,NCT01620216,Terminated,Phase 2,Unable to recruit enough eligible subjects
,DB01248,Malignant neoplasm of breast,C0006142,NCT00576901,Terminated,Phase 2,The sample for statistical analysis of results could not be recruited within the specified timeframe upon retirement of the original principal investigator.
,DB01234,Multiple Myeloma,C0026764,NCT00538824,Terminated,Phase 2,low enrollment
,DB00336,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
letrozole,DB01006,Malignant neoplasm of breast,C0006142,NCT00796107,Terminated,Phase 2,"Due to the discontinuation of compound development, this study has been terminated."
,DB00502,Dementia,C0497327,NCT02374567,Terminated,Phase 3,
pemetrexed,DB00642,Non-Small Cell Lung Carcinoma,C0007131,NCT03317496,Terminated,Phase 2,The study was terminated since there was no need for further safety or efficacy data to be collected. The participants having benefit from the investigational treatments have been moved to a continuation study (NCT05059522).
imatinib,DB00619,Pulmonary arterial hypertension,C2973725,NCT01392495,Terminated,Phase 3,Novartis discontinued the development of imatinib in PAH due to requirement of regulatory authorities for additional data to secure marketing approval in PAH.
,DB09320,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
,DB01229,Squamous cell carcinoma,C0007137,NCT01333852,Terminated,Phase 2,Low accrual
mycophenolate mofetil,DB01024,Malignant Neoplasm (Morphology),C1288351,NCT01871441,Terminated,Phase 2,Trial was closed due to poor accrual.
indomethacin,DB00328,Patent ductus arteriosus,C0013274,NCT00750581,Terminated,Phase 2/Phase 3,Study medication was no longer available for study
,DB00331,Dyslipidemias,C0242339,NCT00362765,Terminated,Phase 2/Phase 3,"The study was prematurely terminated, due to difficulties in the recruitment of T2DM patients who are not under statin therapy at inclusion."
sotalol,DB00489,Atrial Fibrillation,C0004238,NCT02153437,Terminated,Phase 1,Insufficient enrollment
,DB00959,COVID19 (disease),C5203670,NCT04485429,Withdrawn,Phase 3,It was not possible to perform the study due to the availability and logistics of porcine heparin
azacitidine,DB00928,Multiple Myeloma,C0026764,NCT03465540,Terminated,Phase 1,Strategic decisions
furosemide,DB00695,Heart failure,C0018801,NCT00372762,Withdrawn,Phase 3,Due to changes within the research program this study is not feasible at this time
,DB00631,Acute lymphoblastic leukemia - category,C1531702,NCT01621477,Terminated,Phase 2,Study was terminated in August 2016 due to replacement by a new study.
,DB01042,Retinoblastoma,C0035335,NCT00623077,Terminated,Phase 1,Replaced by another study
colesevelam,DB00930,Multiple Myeloma,C0026764,NCT02619812,Terminated,Phase 2,Difficulty recruiting; pill burden and nausea were barriers
nelfinavir,DB00220,Multiple Myeloma,C0026764,NCT01555281,Terminated,Phase 1/Phase 2,"In connection with the restructuring of SAKK, older ongoing studies were analyzed to determine whether a continuation of the trial would still add value to the data analysis, or whether they do not and could therefore be prematurely terminated."
,DB00126,Multiple Myeloma,C0026764,NCT00590603,Terminated,Phase 1,Poor accrual - terminated during Phase I; Phase II never started.
,DB14483,Polycythemia Vera,C0032463,NCT01014546,Terminated,Phase 1,low accrual
,DB00627,Myocardial Infarction,C0027051,NCT00120289,Terminated,Phase 3,AIM-HIGH was stopped on the recommendation of the DSMB because of lack of efficacy of niacin in preventing primary outcome events.
,DB00023,Acute lymphoblastic leukemia - category,C1531702,NCT00439296,Terminated,Phase 1/Phase 2,The study was stopped due to poor accrual and lack of funding.
,DB00201,Migraine Disorders,C0149931,NCT02582996,Suspended,Phase 3,Strategic reasons of the company
liraglutide,DB06655,Short Bowel Syndrome,C0036992,NCT03371862,Withdrawn,Phase 2,No participants recruited. Not able to recruit due to COVID 19.
atorvastatin,DB01076,Hyperlipidemia,C0020473,NCT00663234,Terminated,Phase 1/Phase 2,The study was prematurely discontinued due to administrative reasons.
pramipexole,DB00413,Amyotrophic Lateral Sclerosis,C0002736,NCT01622088,Terminated,Phase 3,The Initial Phase 3 Study (NCTO1281189) did not meet its primary efficacy endpoint.
,DB00864,Multiple Myeloma,C0026764,NCT01303965,Terminated,Phase 1/Phase 2,Slow accrual
,DB00626,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
oxytocin,DB00107,Malignant neoplasm of breast,C0006142,NCT02127073,Suspended,Phase 2,Need funding and scientific collaborator
calcitriol,DB00136,Rickets,C0035579,NCT00001151,Terminated,Phase 2,Terminated because of lack of drug supply
midazolam,DB00683,Anxiety,C0003467,NCT00942539,Terminated,Phase 2,
,DB01234,Multiple Myeloma,C0026764,NCT00005834,Terminated,Phase 3,poor accrual
mepacrine,DB01103,Renal Cell Carcinoma,C0007134,NCT00574483,Withdrawn,Phase 2,reevaluation of compound development
,DB00958,Malignant neoplasm of breast,C0006142,NCT04762901,Withdrawn,Phase 1,Funding was terminated.
ondansetron,DB00904,Obsessive-Compulsive Disorder,C0028768,NCT01275248,Terminated,Phase 2,lack of efficacy
,DB00087,Mucopolysaccharidosis VI,C0026709,NCT00668564,Terminated,Phase 2,Replaced by another study
,DB02546,Malignant neoplasm of breast,C0006142,NCT01118975,Terminated,Phase 1/Phase 2,Lost sponsorship for study drug
,DB00531,Neuroblastoma,C0027819,NCT00003273,Withdrawn,Phase 2,
olanzapine,DB00334,Nausea,C0027497,NCT00124930,Terminated,Phase 3,Study suspended due to low enrollment
levodopa,DB01235,Acute onset pain,C0184567,NCT02116790,Withdrawn,Phase 2,
dexamethasone phosphate,DB00537,Acute otitis externa,C0149948,NCT00945802,Terminated,Phase 3,
bimatoprost,DB00905,Alopecia,C0002170,NCT02676310,Terminated,Phase 1,
tramadol,DB00193,Premature Ejaculation,C0033038,NCT00983736,Terminated,Phase 3,This study was terminated because of recruitment difficulties.
dexamethasone phosphate,DB01234,Multiple Myeloma,C0026764,NCT03657420,Withdrawn,Phase 1,Funding withdrawn by sponsor
azithromycin,DB00207,Pharyngitis,C0031350,NCT01919996,Terminated,Phase 2,See Termination Statement in the Detailed Description below
leucovorin,DB00650,Neuroendocrine Tumors,C0206754,NCT00227617,Terminated,Phase 2/Phase 3,Low accrual
,DB00176,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,
,DB00635,Lupus Nephritis,C0024143,NCT01714817,Terminated,Phase 3,Inability to meet protocol objectives.
,DB00641,Hypercholesterolemia,C0020443,NCT00651391,Terminated,Phase 3,Slow enrollment
,DB00987,Peripheral T-Cell Lymphoma,C0079774,NCT00632827,Terminated,Phase 2,Manufacturing shortage of both Diftitox and Doxil
,DB01234,Multiple Myeloma,C0026764,NCT00124579,Terminated,Phase 2,poor accrual
capecitabine,DB01101,Malignant neoplasm of breast,C0006142,NCT00462865,Terminated,Phase 2,DSMB determined toxicity of regimen more than originally thought. Slow accrual.
,DB01590,Renal Cell Carcinoma,C0007134,NCT01115803,Terminated,Phase 1,Primary objective has been met; safety and pharmacokinetics have been characterized.
,DB00091,Lupus Nephritis,C0024143,NCT01299922,Withdrawn,Phase 3,IT was impossible to find patients
,DB00207,COVID19 (disease),C5203670,NCT04371406,Withdrawn,Phase 3,Regulatory approvals have not been obtained
fentanyl,DB00813,Pain,C0030193,NCT01906073,Withdrawn,Phase 3,
,DB00531,Malignant neoplasm of breast,C0006142,NCT01301040,Terminated,Phase 2,Slow recruitment
,DB14483,Multiple Myeloma,C0026764,NCT01125449,Suspended,Phase 2,Awaiting response from FDA as to status of parenteral ascorbic acid manufactured by Bioniche (Ireland).
lidocaine,DB00281,Chronic pain,C0150055,NCT02219321,Terminated,Phase 3,Lack of Funding
