drug_name,drugbank_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT00397501,Withdrawn,Phase 1/Phase 2,"after original approval, IRB closed enrollment; major revisions required to re-open."
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT00440622,Terminated,Phase 3,Due to poor accrual
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT00453635,Terminated,Phase 2,Due to poor accrual
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT00963547,Terminated,Phase 1,NA
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT01185509,Terminated,Phase 2,Not enough confirmed responses to continue treatment.
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT01290718,Terminated,Phase 2,Slow recruitment
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT01690325,Terminated,Phase 2,Therapy of HER2+ patients according to protocol was no longer appropriate. Patient enrolment behind planned schedule and challenges of site performance
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT01702558,Terminated,Phase 2,The sponsor decided to terminate study after 70% of participants had experienced a progression-free survival event.
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT02297230,Terminated,Phase 1/Phase 2,PI Left Institution prior to reaching accrual goal and analyzing data.
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT02318901,Terminated,Phase 1/Phase 2,PI no longer at sight. Results not collected
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT02569489,Withdrawn,Phase 1,Reconsideration of Study Design; plan for alternative protocol
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT02598310,Terminated,Phase 2,NA
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT02658084,Terminated,Phase 1/Phase 2,Terminated due to low accrual and toxicity concerns.
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT02907918,Terminated,Phase 2,Futility
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT04066790,Terminated,Phase 2,We terminated this trial and initiated a new one including pertuzumab.
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT04102618,Terminated,Early Phase 1,Enrollment into AWARE cohorts1-4 have concluded and the primary objective and core goals for the study were met.
NA,DB00073,Diffuse large B-cell lymphoma refractory,C0855112,NCT02594163,Terminated,Phase 2,Sponsor decision based on portfolio prioritization
NA,DB00073,"Lupus Erythematosus, Systemic",C0024141,NCT00230035,Withdrawn,Phase 2,Recommended by DSMB due to lack of accrual
NA,DB00073,Marginal Zone B-Cell Lymphoma,C1367654,NCT01460602,Withdrawn,Phase 1/Phase 2,Investigator has relocated to MD Anderson
NA,DB00073,Marginal Zone B-Cell Lymphoma,C1367654,NCT02576275,Withdrawn,Phase 3,The scope of the program has been reduced to focus resources on studies which can potentially enable the registration of duvelisib.
NA,DB00073,Marginal Zone B-Cell Lymphoma,C1367654,NCT04189952,Terminated,Phase 2,Investigator Decision
NA,DB00073,Marginal Zone B-Cell Lymphoma,C1367654,NCT04745832,Terminated,Phase 3,Discontinuation of zandelisib program
NA,DB00073,Microglioma,C0280803,NCT02113007,Terminated,Phase 2,Closed early due to slow accrual.
NA,DB00073,Neuromyelitis Optica,C0027873,NCT03829566,Withdrawn,Phase 2/Phase 3,Discontinued by Investigator
NA,DB00073,Peripheral T-Cell Lymphoma,C0079774,NCT01419795,Terminated,Phase 2,Low accrual
NA,DB00073,Rheumatoid Arthritis,C0003873,NCT00298272,Terminated,Phase 2,Sponsor decided to end long term extension phase for business reasons unrelated to safety.
NA,DB00073,Rheumatoid Arthritis,C0003873,NCT00422942,Terminated,Phase 2,Study was terminated after enrollment of 3 participants due to recruitment difficulties.
NA,DB00073,Scleroderma,C0011644,NCT03593902,Terminated,Phase 2/Phase 3,PI Sabbatical
NA,DB00073,Systemic Scleroderma,C0036421,NCT03593902,Terminated,Phase 2/Phase 3,PI Sabbatical
NA,DB00073,Thrombocytopenia due to platelet alloimmunization,C0272286,NCT02649504,Withdrawn,Phase 3,NA
NA,DB00073,Waldenstrom Macroglobulinemia,C0024419,NCT00088881,Terminated,Phase 2,NA
NA,DB00073,Waldenstrom Macroglobulinemia,C0024419,NCT01044745,Terminated,Phase 2,Study was closed to accrual for safety related to the frequency of BK infections.
NA,DB00073,Waldenstrom Macroglobulinemia,C0024419,NCT01419795,Terminated,Phase 2,Low accrual
NA,DB00073,Waldenstrom Macroglobulinemia,C0024419,NCT02168907,Terminated,Phase 1,Slow Accruals
NA,DB00073,Waldenstrom Macroglobulinemia,C0024419,NCT02281279,Withdrawn,Phase 1/Phase 2,NA
NA,DB00080,Ascites,C0003962,NCT01455246,Terminated,Phase 2/Phase 3,Decision of independent monitoring committee after interim analysis: Risk of failure significantly higher in ceftazidime group.
NA,DB00080,Osteomyelitis,C0029443,NCT02168816,Terminated,Phase 2,"The study was stopped for feasibility (i.e., low recruitment)"
NA,DB00087,Acute lymphoblastic leukemia - category,C1531702,NCT00579111,Terminated,Phase 1/Phase 2,slow accrual
NA,DB00087,Aplastic Anemia,C0002874,NCT00578903,Terminated,Phase 2,NA
NA,DB00087,Crohn Disease,C0010346,NCT04154735,Withdrawn,Phase 2,Discontinued by Investigator
NA,DB00087,Epidermolysis Bullosa,C0014527,NCT00881556,Terminated,Early Phase 1,NA
NA,DB00087,Hodgkin Disease,C0019829,NCT00698685,Terminated,Phase 2,Pentostatin/alemtuzumab regimen had greater risk of graft failure.
NA,DB00087,"Lupus Erythematosus, Systemic",C0024141,NCT00684255,Terminated,Phase 1,inactive
NA,DB00087,Mucopolysaccharidosis VI,C0026709,NCT00668564,Terminated,Phase 2,Replaced by another study
NA,DB00087,Multiple Myeloma,C0026764,NCT00579111,Terminated,Phase 1/Phase 2,slow accrual
NA,DB00087,Multiple Myeloma,C0026764,NCT00698685,Terminated,Phase 2,Pentostatin/alemtuzumab regimen had greater risk of graft failure.
NA,DB00087,Neuroblastoma,C0027819,NCT00801931,Terminated,Phase 1/Phase 2,Poor accrual
NA,DB00087,"Niemann-Pick Disease, Type C",C0220756,NCT00668564,Terminated,Phase 2,Replaced by another study
NA,DB00087,Rheumatoid Arthritis,C0003873,NCT00282412,Terminated,Phase 1,No participant enrolled for three years. No plan to continue study.
NA,DB00087,Systemic Scleroderma,C0036421,NCT00684255,Terminated,Phase 1,inactive
NA,DB00087,Wolman Disease,C0043208,NCT00668564,Terminated,Phase 2,Replaced by another study
NA,DB00091,Acute lymphoblastic leukemia - category,C1531702,NCT03128034,Suspended,Phase 1/Phase 2,Administrative - FDA Comments
NA,DB00091,Aplastic Anemia,C0002874,NCT00354419,Terminated,Phase 1,Low accrual
NA,DB00091,"Leukemia, Myelomonocytic, Chronic",C0023480,NCT00119366,Terminated,Phase 2,Funding ended before target accrual was reached; participants are no longer being examined or receiving intervention.
NA,DB00091,"Leukemia, Myelomonocytic, Chronic",C0023480,NCT03128034,Suspended,Phase 1/Phase 2,Administrative - FDA Comments
NA,DB00091,"Leukemia, Myelomonocytic, Chronic",C0023480,NCT03602898,Withdrawn,Phase 2,Insufficient funding
NA,DB00091,Lupus Nephritis,C0024143,NCT01299922,Withdrawn,Phase 3,IT was impossible to find patients
NA,DB00091,Malignant neoplasm of breast,C0006142,NCT00074269,Terminated,Phase 2,Terminated early due to poor enrollment
NA,DB00091,Multiple Myeloma,C0026764,NCT00303719,Terminated,Phase 2,IRB Study Closure
NA,DB00091,Myelofibrosis,C0026987,NCT03602898,Withdrawn,Phase 2,Insufficient funding
NA,DB00091,Refractory acute myeloid leukemia,C4528668,NCT03128034,Suspended,Phase 1/Phase 2,Administrative - FDA Comments
NA,DB00091,Refractory acute myeloid leukemia,C4528668,NCT03602898,Withdrawn,Phase 2,Insufficient funding
NA,DB00091,Rheumatoid Arthritis,C0003873,NCT00282412,Terminated,Phase 1,No participant enrolled for three years. No plan to continue study.
NA,DB00104,Hepatorenal Syndrome,C0019212,NCT01587222,Withdrawn,Phase 2,the sponsor did not provide the treatment
NA,DB00107,Postpartum Hemorrhage,C0032797,NCT01710566,Withdrawn,Phase 3,NA
NA,DB00112,Gastrointestinal Stromal Tumors,C0238198,NCT00324987,Terminated,Phase 3,The trial failed to accrue
NA,DB00112,Glioblastoma Multiforme,C1621958,NCT00735436,Terminated,Phase 2,Study enrollment was halted due to slow accrual.
NA,DB00112,Glioblastoma Multiforme,C1621958,NCT00904852,Withdrawn,Phase 1,NA
NA,DB00112,Glioblastoma Multiforme,C1621958,NCT00984438,Withdrawn,Phase 1/Phase 2,No accrual
NA,DB00112,Glioblastoma Multiforme,C1621958,NCT01186406,Terminated,Phase 2,Study ended early due to toxicity
NA,DB00112,Glioblastoma Multiforme,C1621958,NCT01386710,Suspended,Phase 1/Phase 2,PI left previous institution study will reopen at new institution.
NA,DB00112,Glioblastoma Multiforme,C1621958,NCT01884740,Terminated,Phase 1/Phase 2,The study was prematurely closed in December 2021 due to low accrual.
NA,DB00112,Glioblastoma Multiforme,C1621958,NCT02060955,Terminated,Phase 2,Substantial design modifications required.
NA,DB00112,"Malignant melanoma, metastatic",C0860594,NCT01705392,Terminated,Phase 2,Lack of financing of the study drug. Not sufficient financial support.
NA,DB00112,Malignant neoplasm of breast,C0006142,NCT00461773,Terminated,Phase 2,Lack of recrual
NA,DB00112,Malignant neoplasm of breast,C0006142,NCT00462865,Terminated,Phase 2,DSMB determined toxicity of regimen more than originally thought. Slow accrual.
NA,DB00112,Malignant neoplasm of breast,C0006142,NCT00476827,Terminated,Phase 2,Slow accrual
NA,DB00112,Malignant neoplasm of breast,C0006142,NCT00523809,Terminated,Phase 2,Slow accrual.
NA,DB00112,Malignant neoplasm of breast,C0006142,NCT00536939,Terminated,Phase 2,Study has been terminated due to slow enrollment
NA,DB00112,Malignant neoplasm of breast,C0006142,NCT00625898,Terminated,Phase 3,NA
NA,DB00112,Malignant neoplasm of breast,C0006142,NCT00694200,Terminated,Phase 2,Not reached the statistical hypothesis at the interim analysis
NA,DB00112,Malignant neoplasm of breast,C0006142,NCT00845910,Terminated,Phase 2,To be confirmed
NA,DB00112,Malignant neoplasm of breast,C0006142,NCT00925652,Terminated,Phase 2,The study was terminated early due to slow accrual.
NA,DB00112,Malignant neoplasm of breast,C0006142,NCT00964704,Withdrawn,Phase 2,No patients have been recruited therefore study has been cancelled
NA,DB00112,Malignant neoplasm of breast,C0006142,NCT01120158,Terminated,Phase 2,Due to poor accrual
NA,DB00112,Malignant neoplasm of breast,C0006142,NCT01690325,Terminated,Phase 2,Therapy of HER2+ patients according to protocol was no longer appropriate. Patient enrolment behind planned schedule and challenges of site performance
NA,DB00112,Merkel cell carcinoma,C0007129,NCT03167164,Withdrawn,Phase 1/Phase 2,Trial not initiated
NA,DB00112,Neuroendocrine Tumors,C0206754,NCT00227617,Terminated,Phase 2/Phase 3,Low accrual
NA,DB00112,Non-Small Cell Lung Carcinoma,C0007131,NCT00351039,Terminated,Phase 1/Phase 2,slow accrual
NA,DB00112,Non-Small Cell Lung Carcinoma,C0007131,NCT00434226,Terminated,Phase 2,"Based on data collected, the combination appeared to be poorly tolearated."
NA,DB00112,Non-Small Cell Lung Carcinoma,C0007131,NCT00702572,Terminated,Phase 1,Low Enrollment
NA,DB00112,Non-Small Cell Lung Carcinoma,C0007131,NCT00932152,Terminated,Phase 2,Poor enrollment/suspended to accrual; will close per AstraZeneca request
NA,DB00112,Non-Small Cell Lung Carcinoma,C0007131,NCT00960297,Terminated,Phase 2,Study was terminated due to slow accrual
NA,DB00112,Non-Small Cell Lung Carcinoma,C0007131,NCT00998166,Terminated,Phase 2,Poor enrollment
NA,DB00112,Non-Small Cell Lung Carcinoma,C0007131,NCT03169738,Withdrawn,Phase 1/Phase 2,Trial not initiated
NA,DB00112,Renal Cell Carcinoma,C0007134,NCT00491738,Terminated,Phase 2,"Based on the data collected, the combination of bevacizumab and sunitinib appeared to be poorly tolerated."
NA,DB00112,Renal Cell Carcinoma,C0007134,NCT00556205,Withdrawn,Phase 2,Toxicity of combination from other trials
NA,DB00112,Renal Cell Carcinoma,C0007134,NCT00934440,Terminated,Phase 1/Phase 2,NA
NA,DB00112,Uveitis,C0042164,NCT01095809,Terminated,Phase 3,New intraocular steroid in the market. Recruitment no longer ethical.
NA,DB00121,Atrial Fibrillation,C0004238,NCT00580216,Terminated,Phase 3,early discontinuation based on strategic sponsor decision not driven by any safety concern
NA,DB00122,Ischemic stroke,C0948008,NCT02823106,Withdrawn,Phase 1,Study put on clinical hold by FDA. Sponsor decided to no pursue the study.
NA,DB00126,Glioblastoma Multiforme,C1621958,NCT04900792,Suspended,Phase 1,Toxicity assessment per protocol
NA,DB00126,Hospital acquired pneumonia,C0949083,NCT01897792,Terminated,Phase 2,Inability to recruit patients that meet inclusion criteria.
NA,DB00126,Multiple Myeloma,C0026764,NCT00590603,Terminated,Phase 1,Poor accrual - terminated during Phase I; Phase II never started.
NA,DB00126,Polycythemia Vera,C0032463,NCT01014546,Terminated,Phase 1,low accrual
NA,DB00126,Primary Myelofibrosis,C0001815,NCT01014546,Terminated,Phase 1,low accrual
NA,DB00126,Prostatic Hypertrophy,C1739363,NCT03297398,Terminated,Phase 2,study terminated by sponsor decision
NA,DB00136,Hypocalcemia,C0020598,NCT00623974,Terminated,Phase 2,Terminated due to slow accrual.
NA,DB00140,Crohn Disease,C0010346,NCT02769494,Withdrawn,Phase 3,Lack of funds
NA,DB00163,Schizophrenia,C0036341,NCT00211562,Terminated,Phase 3,NA
NA,DB00165,Psoriasis,C0033860,NCT01704599,Terminated,Phase 1/Phase 2,side effect and poor clinical outcome
NA,DB00166,Waldenstrom Macroglobulinemia,C0024419,NCT02168907,Terminated,Phase 1,Slow Accruals
NA,DB00169,Osteoporosis,C0029456,NCT01552122,Withdrawn,Phase 3,NA
NA,DB00169,"Osteoporosis, Postmenopausal",C0029458,NCT01552122,Withdrawn,Phase 3,NA
NA,DB00175,Hypercholesterolemia,C0020443,NCT00532311,Terminated,Phase 3,Overall profile of the compound does not offer significant clinical advantage to patients over currently available lipid lowering agents
NA,DB00176,Dementia,C0497327,NCT02374567,Terminated,Phase 3,NA
NA,DB00176,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,NA
NA,DB00177,Dyslipidemias,C0242339,NCT02662894,Withdrawn,Phase 3,Sponsor decision
NA,DB00186,Dementia,C0497327,NCT02374567,Terminated,Phase 3,NA
NA,DB00186,Malignant neoplasm of breast,C0006142,NCT01067144,Terminated,Phase 3,Trial met futility stopping point
NA,DB00186,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,NA
NA,DB00188,Acute lymphoblastic leukemia - category,C1531702,NCT01312818,Terminated,Phase 2,Slow accrual
NA,DB00188,Acute lymphoblastic leukemia - category,C1531702,NCT02518750,Terminated,Phase 2,Due to slow accrual
NA,DB00188,Acute lymphoblastic leukemia - category,C1531702,NCT02535806,Terminated,Phase 2,Funding source discontinued
NA,DB00188,Acute lymphocytic leukemia,C0023449,NCT02419755,Terminated,Phase 2,Accrual goals were no longer feasible based on restrictions imposed by the DSMB.
NA,DB00188,Metastatic Renal Cell Cancer,C0278678,NCT01100242,Terminated,Phase 2,Low accrual
NA,DB00188,Multiple Myeloma,C0026764,NCT00124579,Terminated,Phase 2,poor accrual
NA,DB00188,Multiple Myeloma,C0026764,NCT00256776,Terminated,Phase 3,NA
NA,DB00188,Multiple Myeloma,C0026764,NCT00441168,Terminated,Phase 2,TRIAL STOPPED due to a change in standard of care and the required patient numbers could no longer be achieved
NA,DB00188,Multiple Myeloma,C0026764,NCT00516191,Withdrawn,Phase 1/Phase 2,low accrual
NA,DB00188,Multiple Myeloma,C0026764,NCT00573391,Terminated,Phase 3,low accrual
NA,DB00188,Multiple Myeloma,C0026764,NCT00574080,Terminated,Phase 3,low accrual
NA,DB00188,Multiple Myeloma,C0026764,NCT00577668,Withdrawn,Phase 2,Poor accrual
NA,DB00188,Multiple Myeloma,C0026764,NCT00590603,Terminated,Phase 1,Poor accrual - terminated during Phase I; Phase II never started.
NA,DB00188,Multiple Myeloma,C0026764,NCT00793650,Terminated,Phase 1/Phase 2,NA
NA,DB00188,Multiple Myeloma,C0026764,NCT00985907,Terminated,Phase 1/Phase 2,Low Accrual
NA,DB00188,Multiple Myeloma,C0026764,NCT00995059,Withdrawn,Phase 1/Phase 2,NA
NA,DB00188,Multiple Myeloma,C0026764,NCT01055301,Withdrawn,Phase 2,lack of accrual
NA,DB00188,Multiple Myeloma,C0026764,NCT01177683,Terminated,Phase 1/Phase 2,Lack of accrual
NA,DB00188,Multiple Myeloma,C0026764,NCT01438177,Terminated,Phase 2,PI left institution.
NA,DB00188,Multiple Myeloma,C0026764,NCT01537861,Terminated,Early Phase 1,Unexpected toxicity (2 early deaths)
NA,DB00188,Multiple Myeloma,C0026764,NCT01548573,Terminated,Phase 2,Met study stopping rules
NA,DB00188,Multiple Myeloma,C0026764,NCT01647165,Withdrawn,Phase 2,NA
NA,DB00188,Multiple Myeloma,C0026764,NCT01653418,Terminated,Phase 2,Due to the high rate of morbidity and mortality
NA,DB00188,Multiple Myeloma,C0026764,NCT01729338,Terminated,Phase 2,NA
NA,DB00188,Multiple Myeloma,C0026764,NCT03000634,Withdrawn,Phase 2,Study was not and will not be initiated due to lack of funding.
NA,DB00188,Multiple Myeloma,C0026764,NCT03168100,Withdrawn,Phase 2,No study population. No subjects enrolled.
NA,DB00188,Multiple Myeloma,C0026764,NCT03481556,Terminated,Phase 1/Phase 2,The sponsor decided to terminate the study following an FDA request of a partial clinical hold.
NA,DB00188,Myelofibrosis,C0026987,NCT02877082,Terminated,Phase 2,NA
NA,DB00190,Acute onset pain,C0184567,NCT02116790,Withdrawn,Phase 2,NA
NA,DB00190,Parkinson Disease,C0030567,NCT02782481,Withdrawn,Phase 3,Decision to change the study design
NA,DB00193,Chronic pain,C0150055,NCT02722603,Terminated,Phase 3,The study was early terminated due to insufficient recruitment
NA,DB00199,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
NA,DB00201,Migraine Disorders,C0149931,NCT02582996,Suspended,Phase 3,Strategic reasons of the company
NA,DB00201,Pain,C0030193,NCT01426971,Withdrawn,Phase 3,NA
NA,DB00201,Pain,C0030193,NCT01842633,Terminated,Phase 3,NA
NA,DB00203,Idiopathic Pulmonary Fibrosis,C1800706,NCT00981747,Terminated,Phase 2/Phase 3,Funding was withdrawn.
NA,DB00203,Pulmonary Hypertension,C0020542,NCT00302211,Terminated,Phase 3,Terminated due to slow enrollment
NA,DB00207,Acne Vulgaris,C0001144,NCT00392223,Terminated,Phase 3,See Detailed Description
NA,DB00207,COVID19 (disease),C5203670,NCT04329572,Suspended,Early Phase 1,"Azidus, the CRO hired for this study by Prevent Senior has lost the interest to conduct this study."
NA,DB00207,COVID19 (disease),C5203670,NCT04336332,Terminated,Phase 2,Ineffectiveness of treatment
NA,DB00207,COVID19 (disease),C5203670,NCT04339816,Terminated,Phase 3,Steering Committee decision in accordance with stopping rule 1: Emergence of new data
NA,DB00207,COVID19 (disease),C5203670,NCT04344444,Terminated,Phase 3,Lack of efficacy data from other studies
NA,DB00207,COVID19 (disease),C5203670,NCT04348474,Suspended,Early Phase 1,"Azidus, the CRO hired for this study by Prevent Senior has lost the interest to conduct this study."
NA,DB00207,COVID19 (disease),C5203670,NCT04354428,Terminated,Phase 2/Phase 3,Low number of events contributing to primary outcome
NA,DB00207,COVID19 (disease),C5203670,NCT04358068,Terminated,Phase 2,Slow enrollment and lack of community enthusiasm
NA,DB00207,COVID19 (disease),C5203670,NCT04363203,Suspended,Phase 3,concerns related to study drug
NA,DB00207,COVID19 (disease),C5203670,NCT04371406,Withdrawn,Phase 3,Regulatory approvals have not been obtained
NA,DB00207,COVID19 (disease),C5203670,NCT04459702,Withdrawn,Phase 2,Was never started
NA,DB00207,Community acquired pneumonia,C0694549,NCT02269644,Withdrawn,Phase 3,NA
NA,DB00207,Gastroparesis,C0152020,NCT01323582,Terminated,Phase 2,"Original investigator left this institution, replacement investigator retired."
NA,DB00207,"Leishmaniasis, Cutaneous",C0023283,NCT00682656,Terminated,Phase 2/Phase 3,Efficacy issues on test arm
NA,DB00207,Malaria,C0024530,NCT03278808,Withdrawn,Phase 2,The IND has been withdrawn from FDA
NA,DB00207,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
NA,DB00210,Acne Vulgaris,C0001144,NCT01425320,Withdrawn,Phase 1,Study was never initiated due to company decision. No study subjects were ever enrolled or dosed.
NA,DB00210,Acne Vulgaris,C0001144,NCT02716090,Withdrawn,Phase 3,"Due to budget limitations, the company decided to withdraw this study."
NA,DB00214,Heart failure,C0018801,NCT01558674,Terminated,Phase 1,Lack of efficacy
NA,DB00215,Dementia,C0497327,NCT02374567,Terminated,Phase 3,NA
NA,DB00215,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,NA
NA,DB00218,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
NA,DB00218,Osteomyelitis,C0029443,NCT02168816,Terminated,Phase 2,"The study was stopped for feasibility (i.e., low recruitment)"
NA,DB00220,Diarrhea,C0011991,NCT00650637,Terminated,Phase 3,"The study was prematurely discontinued due to administrative reasons on August 18, 2003. There were no safety concerns that led to the decision to terminate."
NA,DB00230,Dementia,C0497327,NCT02374567,Terminated,Phase 3,NA
NA,DB00230,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,NA
NA,DB00231,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,NA
NA,DB00233,Ulcerative Colitis,C0009324,NCT01004185,Terminated,Phase 3,Pediatric enrollment very slow.
NA,DB00234,Dementia,C0497327,NCT02374567,Terminated,Phase 3,NA
NA,DB00234,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,NA
NA,DB00242,Refractory acute myeloid leukemia,C4528668,NCT04196010,Terminated,Phase 1,Terminated due to unfavorable risk-benefit ratio of investigational regimen.
NA,DB00242,Relapsing acute myeloid leukemia,C2349276,NCT04797767,Suspended,Phase 1,Pending protocol amendment
NA,DB00244,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
NA,DB00244,Rheumatoid Arthritis,C0003873,NCT00521924,Terminated,Phase 3,Slow Enrollment
NA,DB00250,Malaria,C0024530,NCT00361114,Terminated,Phase 3,SP arms were stopped due to high levels of treatment failure.CD not available.
NA,DB00252,Neuroblastoma,C0027819,NCT00801931,Terminated,Phase 1/Phase 2,Poor accrual
NA,DB00252,Schizophrenia,C0036341,NCT02374567,Terminated,Phase 3,NA
NA,DB00254,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
NA,DB00254,Ulcerative Colitis,C0009324,NCT03986996,Terminated,Phase 2,There is no feasibility to conduct the study
NA,DB00257,Folliculitis,C0016436,NCT01244256,Suspended,Phase 2/Phase 3,NA
NA,DB00257,Inflammatory Bowel Diseases,C0021390,NCT00061282,Terminated,Phase 1/Phase 2,Funding Horizon
NA,DB00257,Ulcerative Colitis,C0009324,NCT00061282,Terminated,Phase 1/Phase 2,Funding Horizon
NA,DB00260,Osteomyelitis,C0029443,NCT02099240,Terminated,Early Phase 1,Not enough patient enrollment and lack of staffing
