drug_name,drugbank_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
paroxetine,DB00715,Generalized Anxiety Disorder,C0270549,,Approved,,
infliximab,DB00065,Ankylosing spondylitis,C0038013,,Approved,,
choline magnesium trisalicylate,DB00122,Fever,C0015967,,Approved,,
hydrocortisone,DB00741,Erythema Multiforme,C0014742,,Approved,,
doxycycline,DB00254,Acute gonococcal epididymo-orchitis,C0153193,,Approved,,
gatifloxacin,DB01044,Urinary tract infection caused by Klebsiella,C4076057,,Approved,,
atezolizumab,DB11595,Extensive stage primary small cell carcinoma of lung,C4303663,,Approved,,
cefalotin,DB00456,Haemophilus influenzae pneumonia,C0276026,,Approved,,
betamethasone valerate,DB00443,Scalp Dermatoses,C0036271,,Approved,,
paracetamol,DB00316,Toothache,C0040460,,Approved,,
ketoconazole,DB01026,Chromoblastomycosis,C0008582,,Approved,,
alclometasone dipropionate,DB00240,"Lymphoma, T-Cell, Cutaneous",C0079773,,Approved,,
trovafloxacin,DB00685,Postnatal infection,C1278797,,Approved,,
cefadroxil,DB01140,Urinary tract infection caused by Escherichia coli,C0577708,,Approved,,
lamotrigine,DB00555,Epilepsy characterized by intractable complex partial seizures,C2711653,,Approved,,
methylphenobarbital,DB00849,Tonic-Clonic Epilepsy,C0014549,,Approved,,
magnesium citrate,DB11110,Hypocalcemia,C0020598,,Approved,,
polysorbate 80,DB11063,Dry Eye Syndromes,C0013238,,Approved,,
phytomenadione,DB01022,Hypocalcemia,C0020598,,Approved,,
alclofenac,DB13167,Rheumatoid Arthritis,C0003873,,Approved,,
cortisone acetate,DB01380,Cerebral Edema,C0006114,,Approved,,
paracetamol,DB00316,Arthralgia,C0003862,,Approved,,
ropinirole,DB00268,Restless Legs Syndrome,C0035258,,Approved,,
propranolol,DB00571,Hypertrophic Cardiomyopathy,C0007194,,Approved,,
cefuroxime,DB01112,Streptococcal sepsis,C0152964,,Approved,,
tazobactam,DB01606,"Pneumonia, Bacterial",C0004626,,Approved,,
edoxaban,DB09075,Ischemic stroke,C0948008,,Approved,,
methylprednisolone,DB00959,Chronic small plaque psoriasis,C0406317,,Approved,,
benzocaine,DB01086,Coughing,C0010200,,Approved,,
pseudoephedrine,DB00852,Rhinorrhea,C1260880,,Approved,,
cefpodoxime proxetil,DB01416,Urinary tract infection caused by Escherichia coli,C0577708,,Approved,,
zinc oxide,DB09321,Skin irritation,C0152030,,Approved,,
ciprofloxacin,DB00537,Bacterial urinary infection,C0729524,,Approved,,
quinestrol,DB04575,Female hypogonadism syndrome,C0271578,,Approved,,
methylprednisolone,DB00959,Dermatitis Herpetiformis,C0011608,,Approved,,
meclofenamic acid,DB00939,Menorrhagia,C0025323,,Approved,,
bempedoic acid,DB11936,Familial hypercholesterolemia - heterozygous,C0342882,,Approved,,
tobramycin,DB00684,Anterior uveitis,C0042165,,Approved,,
fluticasone furoate,DB08906,Allergic rhinitis (disorder),C2607914,,Approved,,
odevixibat,DB16261,Progressive intrahepatic cholestasis (disorder),C0268312,,Approved,,
hydrocortisone acetate,DB00741,Multiple Sclerosis,C0026769,,Approved,,
metreleptin,DB09046,Acquired partial lipodystrophy,C0220989,,Approved,,
levofolinic acid,DB11596,"Anemia, Megaloblastic",C0002888,,Approved,,
cromoglicic acid,DB01003,Asthma,C0004096,,Approved,,
larotrectinib,DB14723,Solid neoplasm with neurotrophic receptor tyrosine kinase gene fusion,C5192106,,Approved,,
dexrabeprazole,DB13762,Duodenal Ulcer,C0013295,,Approved,,
rupatadine,DB11614,Urticaria,C0042109,,Approved,,
lornoxicam,DB06725,Pain,C0030193,,Approved,,
sulfacetamide,DB00634,Uveitis,C0042164,,Approved,,
captopril,DB01197,Chronic heart failure,C0264716,,Approved,,
hydrocortisone acetate,DB14539,Pruritus Ani,C0033775,,Approved,,
promethazine,DB01069,Hay fever,C0018621,,Approved,,
cyclophosphamide,DB00531,Primary amyloidosis,C0268381,,Approved,,
methotrexate,DB00563,Pustular psoriasis,C0152081,,Approved,,
methylhomatropine,DB00725,Peptic Ulcer,C0030920,,Approved,,
tetracycline,DB09550,Granuloma Inguinale,C0018190,,Approved,,
doxycycline,DB00254,"Pneumonia, Bacterial",C0004626,,Approved,,
mycophenolate mofetil,DB01024,Graft-vs-Host Disease,C0018133,,Approved,,
prednisone,DB00635,Allergic rhinitis (disorder),C2607914,,Approved,,
buformin,DB04830,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
dexamethasone,DB01234,Dermatitis Herpetiformis,C0011608,,Approved,,
hydralazine,DB01275,Hypertensive disease,C0020538,,Approved,,
promazine,DB00420,Allergic rhinitis (disorder),C2607914,,Approved,,
levocarnitine,DB00583,Carnitine deficiency,C1142132,,Approved,,
pheniramine,DB01620,Common Cold,C0009443,,Approved,,
teprotumumab,DB06343,Endocrine exophthalmos,C0155264,,Approved,,
torsemide,DB00214,Edema,C0013604,,Approved,,
uridine triacetate,DB02745,Hereditary orotic aciduria,C0220987,,Approved,,
prednisolone,DB00860,Ulcerative Colitis,C0009324,,Approved,,
amikacin,DB00479,Meningitis caused by Klebsiella aerogenes,C1719906,,Approved,,
carbidopa,DB00190,Parkinson Disease,C0030567,,Approved,,
hydrocortisone acetate,DB14539,Asthma,C0004096,,Approved,,
dipyridamole,DB00975,Atrial Fibrillation,C0004238,,Approved,,
ampicillin,DB00415,Infective otitis media,C0729586,,Approved,,
certolizumab pegol,DB08904,Crohn Disease,C0010346,,Approved,,
ampicillin,DB00415,Sinusitis,C0037199,,Approved,,
cefmetazole,DB00274,Haemophilus influenzae pneumonia,C0276026,,Approved,,
calcium acetate,DB00258,Disorder of electrolytes,C1704431,,Approved,,
ipilimumab,DB06186,Renal Cell Carcinoma,C0007134,,Approved,,
gramicidin,DB00027,Bacterial keratitis,C0854211,,Approved,,
metoclopramide,DB01233,Gastroesophageal reflux disease,C0017168,,Approved,,
hydrocortisone succinate,DB14545,Humoral hypercalcemia of malignancy (disorder),C0149911,,Approved,,
fludarabine phosphate,DB01073,Chronic Lymphocytic Leukemia,C0023434,,Approved,,
amikacin,DB00479,Bacterial urinary infection,C0729524,,Approved,,
darunavir,DB01264,HIV Infections,C0019693,,Approved,,
ceftazidime,DB00438,Sepsis due to Pseudomonas,C2887096,,Approved,,
amyl nitrite,DB01612,Toxic effect of cyanide,C0238080,,Approved,,
carbinoxamine,DB00748,Allergic Conjunctivitis,C0009766,,Approved,,
fomivirsen,DB06759,Cytomegalovirus Retinitis,C0206178,,Approved,,
norepinephrine,DB00368,Pulmonary Emphysema,C0034067,,Approved,,
astemizole,DB00637,Allergic Conjunctivitis,C0009766,,Approved,,
deferasirox,DB01609,beta Thalassemia,C0005283,,Approved,,
lithium carbonate,DB14509,Bipolar Disorder,C0005586,,Approved,,
salicylic acid,DB13860,Hyperkeratosis,C0870082,,Approved,,
medrysone,DB00253,Punctate keratopathy,C0423234,,Approved,,
ceftriaxone,DB01212,Bacterial sepsis,C0684256,,Approved,,
simvastatin,DB00641,Homozygous Familial Hypercholesterolemia,C0342881,,Approved,,
amikacin,DB00479,Cholangitis,C0008311,,Approved,,
benzocaine,DB01086,Skin irritation,C0152030,,Approved,,
fosphenytoin,DB01320,Epilepsy characterized by intractable complex partial seizures,C2711653,,Approved,,
levomethadyl acetate,DB01227,Opiate Addiction,C0524662,,Approved,,
selenium sulfide,DB00971,Seborrheic dermatitis,C0036508,,Approved,,
cefotaxime,DB00493,Bacterial urinary infection,C0729524,,Approved,,
oxytetracycline,DB00595,Acute gonococcal endometritis,C0153196,,Approved,,
oxazepam,DB00842,Anxiety,C0003467,,Approved,,
phenprocoumon,DB00946,Thrombosis,C0040053,,Approved,,
triamcinolone diacetate,DB00620,Dermatologic disorders,C0037274,,Approved,,
benzylpenicillin,DB01053,Tertiary lesion of yaws,C0343833,,Approved,,
betamethasone,DB00443,"Anemia, Diamond-Blackfan",C1260899,,Approved,,
amikacin,DB00479,Staphylococcal Pneumonia,C0032308,,Approved,,
cefoxitin,DB01331,Gonorrhea,C0018081,,Approved,,
tiotropium bromide,DB01409,Pulmonary Emphysema,C0034067,,Approved,,
hydrocortisone succinate,DB14545,Exanthema,C0015230,,Approved,,
cefditoren pivoxil,DB01066,Staphylococcus aureus infection,C1318973,,Approved,,
thiethylperazine,DB00372,Vomiting,C0042963,,Approved,,
silicon dioxide,DB11132,Peptic Ulcer,C0030920,,Approved,,
choline magnesium trisalicylate,DB00122,Pain,C0030193,,Approved,,
adapalene,DB00210,Acne Vulgaris,C0001144,,Approved,,
ranibizumab,DB01270,Branch retinal vein occlusion with macular edema,C0339507,,Approved,,
dexamethasone,DB01234,Transplanted organ rejection,C0345468,,Approved,,
clobetasone butyrate,DB13158,"Dermatitis, Atopic",C0011615,,Approved,,
fluticasone furoate,DB13867,Chronic Obstructive Airway Disease,C0024117,,Approved,,
betamethasone,DB00443,Post traumatic osteoarthritis,C2894027,,Approved,,
sulfogaiacol,DB15992,Rhinorrhea,C1260880,,Approved,,
abarelix,DB00106,Ischemic priapism,C2711256,,Approved,,
grepafloxacin,DB00365,Chlamydial urethritis,C1278807,,Approved,,
nicotinic acid,DB00627,Hypercholesterolemia,C0020443,,Approved,,
brimonidine,DB00484,"Glaucoma, Open-Angle",C0017612,,Approved,,
hydrocortisone succinate,DB00741,"Anemia, Diamond-Blackfan",C1260899,,Approved,,
alfacalcidol,DB01436,Hypoparathyroidism,C0020626,,Approved,,
succinic acid,DB00139,Iron deficiency anemia,C0162316,,Approved,,
fluorouracil,DB00544,metastasis from malignant neoplasm of colon,C1282500,,Approved,,
estradiol valerate,DB00783,Hot flushes,C0600142,,Approved,,
retinol,DB00162,Vitamin A Deficiency,C0042842,,Approved,,
nitazoxanide,DB00507,Cryptosporidiosis,C0010418,,Approved,,
ampicillin,DB00415,Bacterial urinary infection,C0729524,,Approved,,
hydrocortisone,DB00741,Psoriasis,C0033860,,Approved,,
alimemazine,DB01246,Pruritus,C0033774,,Approved,,
fluvastatin,DB01095,"Hyperlipidemia, Familial Combined",C0020474,,Approved,,
hydrocortisone succinate,DB14545,Laryngeal Edema,C0023052,,Approved,,
tetracycline,DB00759,Acute gonococcal urethritis,C0275652,,Approved,,
prednisolone,DB00860,Autoimmune Diseases,C0004364,,Approved,,
fluocinolone acetonide,DB12553,Psoriasis of scalp,C0406326,,Approved,,
ropeginterferon alfa-2b,DB15119,Polycythemia Vera,C0032463,,Approved,,
ergometrine,DB01253,Postpartum Hemorrhage,C0032797,,Approved,,
butylphthalide,DB12749,Ischemic stroke,C0948008,,Approved,,
meclocycline,DB13092,Acute gonococcal cervicitis,C0153195,,Approved,,
cromoglicic acid,DB01003,Allergic Conjunctivitis,C0009766,,Approved,,
demeclocycline,DB00618,Gingivostomatitis,C0149704,,Approved,,
prednisolone,DB00860,"Anemia, Diamond-Blackfan",C1260899,,Approved,,
nizatidine,DB00585,Duodenal Ulcer,C0013295,,Approved,,
prednisone,DB00635,Berylliosis,C0005138,,Approved,,
fusidic acid,DB02703,Pneumococcal Infections,C0032269,,Approved,,
hydrocortisone succinate,DB00741,Synovitis,C0039103,,Approved,,
amcinonide,DB00288,Contact Dermatitis,C0011616,,Approved,,
cortisone acetate,DB01380,Autoimmune Diseases,C0004364,,Approved,,
tobramycin,DB00684,Staphylococcus aureus infection,C1318973,,Approved,,
difenoxin,DB01501,Diarrhea,C0011991,,Approved,,
ofloxacin,DB01165,Urinary tract infection caused by Klebsiella,C4076057,,Approved,,
artenimol,DB11638,Malaria,C0024530,,Approved,,
ofloxacin,DB01165,Otitis Externa,C0029878,,Approved,,
metronidazole,DB15759,Tubo-ovarian abscess,C0041343,,Approved,,
ertapenem,DB00303,"Pneumonia, Bacterial",C0004626,,Approved,,
zinc acetate,DB14487,Itching of ear,C0849907,,Approved,,
idarucizumab,DB09264,Drug-induced coagulation inhibitor disorder,C0272373,,Approved,,
ferrous fumarate,DB14491,Megaloblastic anemia due to folate deficiency,C0151482,,Approved,,
metaraminol,DB00610,Hypotension,C0020649,,Approved,,
itraconazole,DB01167,Candidemia,C0877445,,Approved,,
carbamazepine,DB00564,Epilepsy,C0014544,,Approved,,
erythromycin,DB00199,Mycoplasma pneumonia,C0032302,,Approved,,
paclitaxel,DB01229,Malignant tumor of peritoneum,C0153467,,Approved,,
clavulanic acid,DB00766,Sepsis due to Staphylococcus aureus,C2887088,,Approved,,
cortisone acetate,DB01380,Juvenile arthritis,C3495559,,Approved,,
thiabendazole,DB00730,Strongyloidiasis,C0038463,,Approved,,
testosterone,DB00624,Cryptorchidism,C0010417,,Approved,,
prednicarbate,DB01130,Chronic discoid lupus erythematosus,C0024138,,Approved,,
chlordiazepoxide,DB00475,Irritable Bowel Syndrome,C0022104,,Approved,,
carbinoxamine,DB00748,Hay fever,C0018621,,Approved,,
cefalexin,DB00567,Urinary tract infection caused by Escherichia coli,C0577708,,Approved,,
mitomycin,DB00305,Adenocarcinoma of pancreas,C0281361,,Approved,,
prasugrel,DB06209,Acute Coronary Syndrome,C0948089,,Approved,,
ceftazidime,DB00438,Streptococcal pneumonia,C0155862,,Approved,,
sumatriptan,DB00669,Cluster Headache,C0009088,,Approved,,
prednisolone,DB00860,"Arthritis, Gouty",C0003868,,Approved,,
cannabidiol,DB09061,Lennox-Gastaut syndrome,C0238111,,Approved,,
nystatin,DB00646,Mucocutaneous candidiasis,C0006848,,Approved,,
theophylline,DB01223,Bronchospasm,C0006266,,Approved,,
piperacillin,DB00319,Bacterial sepsis,C0684256,,Approved,,
guanfacine,DB01018,Hypertensive disease,C0020538,,Approved,,
nicotine,DB00184,Pellagra,C0030783,,Approved,,
pegvisomant,DB00082,Acromegaly,C0001206,,Approved,,
ceritinib,DB09063,Anaplastic lymphoma kinase fusion oncogene positive non-small cell lung cancer,C5394780,,Approved,,
minocycline,DB01017,Bartonella Infections,C0004771,,Approved,,
estradiol,DB00783,Menopausal syndrome,C0025319,,Approved,,
cytarabine,DB00987,Acute lymphocytic leukemia,C0023449,,Approved,,
ceftizoxime,DB01332,Staphylococcus aureus infection,C1318973,,Approved,,
cefixime,DB00671,Acute gonococcal urethritis,C0275652,,Approved,,
meclocycline,DB13092,Rocky Mountain Spotted Fever,C0035793,,Approved,,
triamcinolone,DB00620,Cerebral Edema,C0006114,,Approved,,
olanzapine,DB00334,Major Depressive Disorder,C1269683,,Approved,,
perazine,DB12710,Anxiety,C0003467,,Approved,,
triamcinolone acetonide,DB00620,"Dermatitis, Atopic",C0011615,,Approved,,
donepezil,DB00843,Alzheimer's Disease,C0002395,,Approved,,
ataluren,DB05016,"Muscular Dystrophy, Duchenne",C0013264,,Approved,,
cefazolin,DB01327,Cholangitis,C0008311,,Approved,,
procaine benzylpenicillin,DB01053,Rat-Bite Fever,C0034686,,Approved,,
prednisolone acetate,DB15566,Infective blepharitis,C0729587,,Approved,,
cefpodoxime proxetil,DB01416,Infective otitis media,C0729586,,Approved,,
lutetium (177Lu) oxodotreotide,DB13985,Neuroendocrine Tumors,C0206754,,Approved,,
ertapenem,DB00303,Peptostreptococcus infection,C1096562,,Approved,,
betamethasone,DB00443,Laryngeal Edema,C0023052,,Approved,,
tazarotene,DB00799,Acne Vulgaris,C0001144,,Approved,,
cefuroxime,DB01112,Acute gonococcal endometritis,C0153196,,Approved,,
cortisone acetate,DB01380,Congenital adrenal hyperplasia,C0001627,,Approved,,
ofloxacin,DB01165,Urinary tract infection,C0042029,,Approved,,
meticillin,DB01603,Sinusitis,C0037199,,Approved,,
faropenem medoxil,DB05659,"Skin Diseases, Bacterial",C0162627,,Approved,,
mirtazapine,DB00370,Major Depressive Disorder,C1269683,,Approved,,
benzquinamide,DB00767,Postoperative Nausea and Vomiting,C0520909,,Approved,,
betaxolol,DB00195,Ocular Hypertension,C0028840,,Approved,,
natalizumab,DB00108,Multiple Sclerosis,C0026769,,Approved,,
clioquinol,DB04815,Tinea cruris,C1384589,,Approved,,
cortisone acetate,DB01380,Inflammatory Bowel Diseases,C0021390,,Approved,,
benzylpenicillin,DB01053,Lung Abscess,C0024110,,Approved,,
cefmetazole,DB00274,Staphylococcal Pneumonia,C0032308,,Approved,,
vancomycin,DB00512,Staphylococcal Pneumonia,C0032308,,Approved,,
decitabine,DB01262,"Leukemia, Myelocytic, Acute",C0023467,,Approved,,
diphenylpyraline,DB01146,Urticaria,C0042109,,Approved,,
moxidectin,DB11431,Onchocerciasis,C0029001,,Approved,,
ammonium lactate,DB06768,Seborrheic dermatitis,C0036508,,Approved,,
phenyltoloxamine,DB11160,Urticaria,C0042109,,Approved,,
choline magnesium trisalicylate,DB01401,Rheumatoid Arthritis,C0003873,,Approved,,
lidocaine,DB00281,Pediculus capitis infestation,C0030757,,Approved,,
paromomycin,DB01421,Acute amebiasis,C0152499,,Approved,,
amoxicillin,DB01060,Urinary tract infection caused by Escherichia coli,C0577708,,Approved,,
procaine benzylpenicillin,DB01053,Streptococcal Infections,C0038395,,Approved,,
cefuroxime axetil,DB01112,Group A Streptococcal Infections,C0554628,,Approved,,
simvastatin,DB00641,Familial hypercholesterolemia - heterozygous,C0342882,,Approved,,
neomycin,DB00994,Keratitis,C0022568,,Approved,,
gentamicin,DB00798,Escherichia coli septicemia,C0276088,,Approved,,
hydrocortisone,DB00741,Infective otitis externa,C0021355,,Approved,,
spironolactone,DB00421,Edema,C0013604,,Approved,,
romiplostim,DB05332,Aplastic Anemia,C0002874,,Approved,,
lithium citrate,DB14507,Bipolar disorder in remission,C0270425,,Approved,,
piperacillin,DB00319,Acute gonococcal urethritis,C0275652,,Approved,,
insulin degludec,DB00030,Diabetes Mellitus,C0011849,,Approved,,
lomustine,DB01206,Brain Neoplasms,C0006118,,Approved,,
hydroxocobalamin,DB00200,"Anemia, Pernicious",C0002892,,Approved,,
mifamurtide,DB13615,Osteosarcoma of bone,C0585442,,Approved,,
fusidic acid,DB02703,Acne Vulgaris,C0001144,,Approved,,
alatrofloxacin,DB09335,Female genital tract infection,C1263758,,Approved,,
magnesium carbonate,DB09481,Hypomagnesemia,C0151723,,Approved,,
ergoloid mesylates,DB01049,Dementia,C0497327,,Approved,,
cortisone acetate,DB01380,Herpes zoster keratitis,C1275687,,Approved,,
loteprednol etabonate,DB00873,Iridocyclitis,C0022073,,Approved,,
desloratadine,DB00967,Hay fever,C0018621,,Approved,,
betamethasone,DB00443,Congenital adrenal hyperplasia,C0001627,,Approved,,
liothyronine,DB00279,Congenital Hypothyroidism,C0010308,,Approved,,
ceftazidime,DB00438,Neonatal meningitis,C0456107,,Approved,,
fluticasone propionate,DB13867,Allergic asthma,C0155877,,Approved,,
dipyridamole,DB00975,Chronic heart failure,C0264716,,Approved,,
prulifloxacin,DB11892,Lower urinary tract infectious disease,C0268821,,Approved,,
magnesium salicylate,DB01397,Degenerative polyarthritis,C0029408,,Approved,,
posaconazole,DB01263,Mycoses,C0026946,,Approved,,
adalimumab,DB00051,Axial Spondyloarthritis,C3203547,,Approved,,
antazoline,DB08799,Dermatographic urticaria,C0343065,,Approved,,
ceftazidime,DB00438,Gonococcal meningitis,C0153225,,Approved,,
azithromycin,DB00207,Chlamydial pneumonia,C0339959,,Approved,,
fluocinolone acetonide,DB00591,Scurfiness of scalp,C0423775,,Approved,,
ketoconazole,DB01026,Scurfiness of scalp,C0423775,,Approved,,
idelalisib,DB09054,Small Lymphocytic Lymphoma,C0855095,,Approved,,
insulin detemir,DB01307,Diabetes Mellitus,C0011849,,Approved,,
naloxone,DB01183,Pain,C0030193,,Approved,,
fusidic acid,DB02703,Inhalational anthrax,C0155866,,Approved,,
procaine benzylpenicillin,DB01053,Neurosyphilis,C0027927,,Approved,,
fusidic acid,DB02703,Hospital acquired pneumonia,C0949083,,Approved,,
doxycycline,DB00254,Gonorrhea,C0018081,,Approved,,
miltefosine,DB09031,"Leishmaniasis, Visceral",C0023290,,Approved,,
sulfamethizole,DB00576,Bacterial urinary infection,C0729524,,Approved,,
caspofungin,DB00520,Candidemia,C0877445,,Approved,,
furosemide,DB00695,Acute pulmonary edema,C0155919,,Approved,,
ofloxacin,DB01165,Enterobacteriaceae Infections,C0014347,,Approved,,
prednisone,DB00635,"Dermatitis, Atopic",C0011615,,Approved,,
triamcinolone diacetate,DB00620,Post traumatic osteoarthritis,C2894027,,Approved,,
alteplase,DB00009,Acute myocardial infarction,C0155626,,Approved,,
acetylcysteine,DB06151,Bronchitis,C0006277,,Approved,,
prednisolone,DB00860,Multiple Sclerosis,C0026769,,Approved,,
amoxicillin,DB01060,Acute otitis media,C0271429,,Approved,,
desmopressin,DB00035,Hemophilia A,C0019069,,Approved,,
sulindac,DB00605,Ankylosing spondylitis,C0038013,,Approved,,
dexamethasone,DB01234,Corneal Ulcer,C0010043,,Approved,,
tetracycline,DB00759,Bacterial conjunctivitis,C0009768,,Approved,,
prednisone,DB00635,Acute lymphocytic leukemia,C0023449,,Approved,,
netarsudil,DB13931,Ocular Hypertension,C0028840,,Approved,,
fluphenazine decanoate,DB00623,Psychotic Disorders,C0033975,,Approved,,
lumiracoxib,DB01283,Degenerative polyarthritis,C0029408,,Approved,,
ceftriaxone,DB01212,"Meningitis, Bacterial",C0085437,,Approved,,
erythromycin,DB00199,Group A Streptococcal Infections,C0554628,,Approved,,
methylprednisolone,DB00959,Adrenal cortical hypofunction,C0405580,,Approved,,
norethisterone,DB00717,Secondary physiologic amenorrhea,C0232940,,Approved,,
sulfafurazole,DB00263,Inclusion conjunctivitis,C0009770,,Approved,,
evogliptin,DB12625,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
ravulizumab,DB11580,Paroxysmal nocturnal hemoglobinuria,C0024790,,Approved,,
fusidic acid,DB02703,Psittacosis,C0029291,,Approved,,
triprolidine,DB00427,Common Cold,C0009443,,Approved,,
clarithromycin,DB01211,Acute bacterial sinusitis,C0275556,,Approved,,
tazobactam,DB01606,Haemophilus influenzae pneumonia,C0276026,,Approved,,
hydrocortisone acetate,DB00741,Bursitis,C0006444,,Approved,,
meropenem,DB00760,Peritonitis,C0031154,,Approved,,
fusidic acid,DB02703,Dacryocystitis,C0010930,,Approved,,
desipramine,DB01151,Depressive disorder,C0011581,,Approved,,
carbamide peroxide,DB11129,Impacted cerumen,C0021092,,Approved,,
methamphetamine,DB01577,Attention deficit hyperactivity disorder,C1263846,,Approved,,
taliglucerase alfa,DB08876,"Gaucher Disease, Type 1",C1961835,,Approved,,
nalmefene,DB06230,Opioid toxicity,C0412850,,Approved,,
methdilazine,DB00902,Pruritus,C0033774,,Approved,,
benzathine benzylpenicillin,DB01053,Streptococcal pneumonia,C0155862,,Approved,,
tetracycline,DB00759,Lymphogranuloma Venereum,C0024286,,Approved,,
moxifloxacin,DB00218,Mycoplasma pneumonia,C0032302,,Approved,,
ephedrine,DB01364,Rhinorrhea,C1260880,,Approved,,
